x,y,z,qw,qx,qy,qz
0.04836482182145119,-0.03162997588515282,-0.07087898254394531,0.9997970032289535,0.0015456031673871128,0.014126090341385287,0.014283172085552126
0.048040952533483505,-0.03137930855154991,-0.07085901498794556,0.9997983744131892,0.0015499116119871187,0.014122547995708177,0.01419002008785547
0.047736864537000656,-0.031233368441462517,-0.0708169937133789,0.9997981657548398,0.001502536238594021,0.014127002632178006,0.014205909962352532
0.04719771817326546,-0.031048165634274483,-0.0707143098115921,0.9997988737026341,0.0014867669239558145,0.01411813024355209,0.014165947442571014
0.046925392001867294,-0.030768154188990593,-0.070770762860775,0.9998001554594703,0.0014579160760465385,0.0140906680336761,0.014106374202398764
0.04663143679499626,-0.030682513490319252,-0.0707864835858345,0.9997999020890632,0.0016121492962466173,0.01402704488451605,0.0141704711832775
0.04625862464308739,-0.030556220561265945,-0.07061941176652908,0.999799000387976,0.001483588191224961,0.014097455457469509,0.014178223878367958
0.04587394744157791,-0.03040401265025139,-0.07052327692508698,0.9997978974797553,0.0014432798608081424,0.014149725972139976,0.014207905344380491
0.045675259083509445,-0.030146431177854538,-0.07059019058942795,0.9998000585825575,0.0013935425536029937,0.014070094232153373,0.01413990150325979
0.045272860676050186,-0.0300300195813179,-0.0704461932182312,0.9997990078400544,0.0013818000083383839,0.01413909570350762,0.014146695891972202
0.0448622889816761,-0.02975434623658657,-0.07036350667476654,0.9997999393494212,0.001373391736363145,0.014110917426076945,0.014109452162525495
0.044435884803533554,-0.029639335349202156,-0.07034958153963089,0.9998000958429097,0.0013755251422701475,0.014060853140623907,0.01414849135033132
0.044123999774456024,-0.02948678657412529,-0.07024917006492615,0.999799984061849,0.0012698223246250789,0.014081453168787415,0.014145088267183602
0.043969251215457916,-0.029260721057653427,-0.07021844387054443,0.9998006025835615,0.0013809915838357057,0.014072494525475652,0.014099789582120813
0.04363807663321495,-0.029130881652235985,-0.07011912018060684,0.9998006249397607,0.0013188657716636774,0.01408926322311649,0.014087795166044928
0.04332822188735008,-0.02893648110330105,-0.07004541158676147,0.999800021322204,0.0012839325405830106,0.014114661866246499,0.01410839933220408
0.042545124888420105,-0.028735650703310966,-0.06989358365535736,0.9997975397795306,0.0012259441502454555,0.01417288933368694,0.014230147462196726
0.04221007600426674,-0.02854885719716549,-0.06984705477952957,0.9997985309069226,0.0011666219464185812,0.01412429422990269,0.01421385241940116
0.042134806513786316,-0.028550975024700165,-0.06983333081007004,0.9997983297006895,0.0012438492573804143,0.014096106772150094,0.014249855363582555
0.04160359501838684,-0.028268393129110336,-0.06970050185918808,0.9997985234548407,0.0011878284555257553,0.014114592655903856,0.014222824832093361
0.04142896831035614,-0.028065087273716927,-0.06972480565309525,0.999799276114841,0.0012912924230226535,0.014075643999547414,0.014199246001847257
0.041158005595207214,-0.027926012873649597,-0.06967563927173615,0.9997994624167338,0.001250189680448827,0.014058899358664913,0.014206005182539744
0.04088136553764343,-0.02780166082084179,-0.0696030855178833,0.9997991419774567,0.00128869764318866,0.01404604903106738,0.014237878544645005
